id,user_id,activity_type,content_id,created_at,updated_at
52,566,like,1479,2024-11-03 16:27:42,2024-11-03 16:27:42
92,678,view,1383,2024-11-04 08:06:57,2024-11-04 08:06:57
143,142,comment,1518,2024-11-04 13:54:49,2024-11-04 13:54:49
178,752,like,984,2024-11-04 14:38:02,2024-11-04 14:38:02
179,752,like,958,2024-11-04 14:38:34,2024-11-04 14:38:34
197,424,comment,1466,2024-11-05 06:01:32,2024-11-05 06:01:32
198,424,comment,1466,2024-11-05 06:02:00,2024-11-05 06:02:00
199,424,comment,1466,2024-11-05 06:02:24,2024-11-05 06:02:24
217,68,comment,811,2024-11-05 09:46:27,2024-11-05 09:46:27
218,68,comment,811,2024-11-05 09:51:16,2024-11-05 09:51:16
239,424,comment,1466,2024-11-05 10:57:48,2024-11-05 10:57:48
243,424,comment,1466,2024-11-05 10:58:56,2024-11-05 10:58:56
245,78,like,1521,2024-11-05 11:00:11,2024-11-05 11:00:11
249,78,like,1522,2024-11-05 11:02:58,2024-11-05 11:02:58
270,424,comment,1466,2024-11-05 11:17:29,2024-11-05 11:17:29
276,566,comment,1522,2024-11-05 11:23:01,2024-11-05 11:23:01
277,566,comment,1522,2024-11-05 11:23:27,2024-11-05 11:23:27
278,424,comment,1466,2024-11-05 11:23:37,2024-11-05 11:23:37
279,424,comment,1466,2024-11-05 11:24:54,2024-11-05 11:24:54
291,426,like,1522,2024-11-05 11:35:32,2024-11-05 11:35:32
301,472,comment,865,2024-11-05 13:20:07,2024-11-05 13:20:07
302,155,share,1360,2024-11-05 13:20:09,2024-11-05 13:20:09
303,1121,comment,588,2024-11-05 13:20:11,2024-11-05 13:20:11
304,366,share,565,2024-11-05 13:20:14,2024-11-05 13:20:14
305,293,view,1379,2024-11-05 13:20:18,2024-11-05 13:20:18
306,424,comment,634,2024-11-05 13:20:22,2024-11-05 13:20:22
307,128,view,1457,2024-11-05 13:20:25,2024-11-05 13:20:25
308,579,view,604,2024-11-05 13:20:27,2024-11-05 13:20:27
309,213,comment,589,2024-11-05 13:20:30,2024-11-05 13:20:30
310,1111,share,984,2024-11-05 13:20:32,2024-11-05 13:20:32
311,948,share,1327,2024-11-05 13:20:34,2024-11-05 13:20:34
312,245,share,1377,2024-11-05 13:20:35,2024-11-05 13:20:35
313,1017,share,1164,2024-11-05 13:20:37,2024-11-05 13:20:37
314,125,view,1184,2024-11-05 13:20:39,2024-11-05 13:20:39
315,1096,view,922,2024-11-05 13:20:43,2024-11-05 13:20:43
316,681,comment,866,2024-11-05 13:20:45,2024-11-05 13:20:45
317,167,view,128,2024-11-05 13:20:46,2024-11-05 13:20:46
318,71,share,1306,2024-11-05 13:20:50,2024-11-05 13:20:50
319,464,share,839,2024-11-05 13:20:54,2024-11-05 13:20:54
320,200,share,593,2024-11-05 13:20:56,2024-11-05 13:20:56
321,406,comment,997,2024-11-05 13:21:00,2024-11-05 13:21:00
322,594,view,805,2024-11-05 13:21:04,2024-11-05 13:21:04
323,19,view,535,2024-11-05 13:21:09,2024-11-05 13:21:09
324,766,share,566,2024-11-05 13:21:13,2024-11-05 13:21:13
325,759,view,1283,2024-11-05 13:21:26,2024-11-05 13:21:26
326,24,comment,1008,2024-11-05 13:21:33,2024-11-05 13:21:33
327,1010,comment,119,2024-11-05 13:21:36,2024-11-05 13:21:36
328,926,comment,884,2024-11-05 13:21:39,2024-11-05 13:21:39
329,845,share,194,2024-11-05 13:21:41,2024-11-05 13:21:41
330,613,share,843,2024-11-05 13:21:47,2024-11-05 13:21:47
331,951,share,1073,2024-11-05 13:21:48,2024-11-05 13:21:48
332,588,share,1209,2024-11-05 13:21:52,2024-11-05 13:21:52
333,1048,share,650,2024-11-05 13:21:54,2024-11-05 13:21:54
334,907,share,1210,2024-11-05 13:21:58,2024-11-05 13:21:58
335,28,view,133,2024-11-05 13:22:00,2024-11-05 13:22:00
336,18,view,715,2024-11-05 13:22:02,2024-11-05 13:22:02
337,438,view,703,2024-11-05 13:22:04,2024-11-05 13:22:04
338,6,share,1517,2024-11-05 13:22:06,2024-11-05 13:22:06
339,633,view,805,2024-11-05 13:22:09,2024-11-05 13:22:09
340,276,view,697,2024-11-05 13:22:13,2024-11-05 13:22:13
341,686,share,1162,2024-11-05 13:22:18,2024-11-05 13:22:18
342,116,share,1270,2024-11-05 13:22:22,2024-11-05 13:22:22
343,623,comment,1324,2024-11-05 13:22:24,2024-11-05 13:22:24
344,1020,comment,602,2024-11-05 13:22:28,2024-11-05 13:22:28
345,651,share,753,2024-11-05 13:22:30,2024-11-05 13:22:30
346,1099,comment,690,2024-11-05 13:22:36,2024-11-05 13:22:36
347,1069,comment,1063,2024-11-05 13:22:42,2024-11-05 13:22:42
348,616,share,815,2024-11-05 13:22:44,2024-11-05 13:22:44
349,1114,view,526,2024-11-05 13:22:48,2024-11-05 13:22:48
350,147,view,679,2024-11-05 13:22:50,2024-11-05 13:22:50
351,22,comment,572,2024-11-05 13:22:52,2024-11-05 13:22:52
352,477,view,1494,2024-11-05 13:22:53,2024-11-05 13:22:53
353,689,comment,920,2024-11-05 13:22:57,2024-11-05 13:22:57
354,339,view,1131,2024-11-05 13:23:01,2024-11-05 13:23:01
355,826,comment,147,2024-11-05 13:23:03,2024-11-05 13:23:03
356,15,comment,1179,2024-11-05 13:23:05,2024-11-05 13:23:05
357,678,share,1129,2024-11-05 13:23:08,2024-11-05 13:23:08
358,72,share,1248,2024-11-05 13:23:12,2024-11-05 13:23:12
359,352,comment,1168,2024-11-05 13:23:16,2024-11-05 13:23:16
360,35,share,1227,2024-11-05 13:23:18,2024-11-05 13:23:18
361,278,view,1510,2024-11-05 13:23:22,2024-11-05 13:23:22
362,332,view,1152,2024-11-05 13:23:26,2024-11-05 13:23:26
363,288,view,1522,2024-11-05 13:23:30,2024-11-05 13:23:30
364,437,share,666,2024-11-05 13:23:32,2024-11-05 13:23:32
365,955,comment,573,2024-11-05 13:23:35,2024-11-05 13:23:35
366,680,comment,720,2024-11-05 13:23:37,2024-11-05 13:23:37
367,644,view,676,2024-11-05 13:23:39,2024-11-05 13:23:39
368,951,share,997,2024-11-05 13:23:41,2024-11-05 13:23:41
369,415,view,1479,2024-11-05 13:23:43,2024-11-05 13:23:43
370,147,share,900,2024-11-05 13:23:44,2024-11-05 13:23:44
371,125,share,1267,2024-11-05 13:23:46,2024-11-05 13:23:46
372,1129,comment,1514,2024-11-05 13:23:50,2024-11-05 13:23:50
373,193,view,514,2024-11-05 13:23:53,2024-11-05 13:23:53
374,1047,comment,742,2024-11-05 13:23:54,2024-11-05 13:23:54
375,153,view,1128,2024-11-05 13:23:58,2024-11-05 13:23:58
376,946,view,1373,2024-11-05 13:24:00,2024-11-05 13:24:00
377,7,share,859,2024-11-05 13:24:04,2024-11-05 13:24:04
378,812,share,751,2024-11-05 13:24:06,2024-11-05 13:24:06
379,641,view,684,2024-11-05 13:24:07,2024-11-05 13:24:07
380,3,share,569,2024-11-05 13:24:13,2024-11-05 13:24:13
381,619,share,221,2024-11-05 13:24:22,2024-11-05 13:24:22
382,1051,view,197,2024-11-05 13:24:24,2024-11-05 13:24:24
383,423,share,923,2024-11-05 13:24:28,2024-11-05 13:24:28
384,836,share,690,2024-11-05 13:24:32,2024-11-05 13:24:32
385,159,comment,148,2024-11-05 13:24:34,2024-11-05 13:24:34
386,1143,comment,1236,2024-11-05 13:24:37,2024-11-05 13:24:37
387,53,comment,1339,2024-11-05 13:24:39,2024-11-05 13:24:39
388,1135,share,1275,2024-11-05 13:24:44,2024-11-05 13:24:44
389,845,comment,1112,2024-11-05 13:24:46,2024-11-05 13:24:46
390,704,view,683,2024-11-05 13:24:51,2024-11-05 13:24:51
391,275,comment,751,2024-11-05 13:25:10,2024-11-05 13:25:10
392,945,comment,612,2024-11-05 13:25:17,2024-11-05 13:25:17
393,1107,comment,1213,2024-11-05 13:25:25,2024-11-05 13:25:25
394,1147,view,1219,2024-11-05 13:25:28,2024-11-05 13:25:28
395,557,share,1068,2024-11-05 13:25:30,2024-11-05 13:25:30
396,344,view,1222,2024-11-05 13:25:33,2024-11-05 13:25:33
397,397,view,810,2024-11-05 13:25:35,2024-11-05 13:25:35
