user_id,bio,gender,country_id,state_id,city_id,following,followers,interest_categories,connections,updated_at
1,,male,161.0,306.0,77002.0,"1, 78, 426, 584, 726, 743","1, 66, 78, 114, 171, 528, 584, 705","Car Enthusiasts, Music and Instrumental, Web Development","1, 78, 426, 584, 726, 743, 1, 66, 78, 114, 171, 528, 584, 705",2025-02-06 04:45:57
2,,,,,,,"66, 584",,"66, 584",2025-01-09 09:23:32
3,,male,161.0,306.0,76932.0,,470,,470,2025-01-09 09:23:32
4,,,,,,,"66, 171",,"66, 171",2025-01-09 09:23:32
7,Why am I not yet a fucking Genius?,male,161.0,306.0,1.0,"49, 66, 75","75, 79, 81, 90, 91, 93, 97, 98, 102, 114, 133, 311",Visual Arts,"49, 66, 75, 75, 79, 81, 90, 91, 93, 97, 98, 102, 114, 133, 311",2025-01-09 09:23:32
9,,,,,,,584,,584,2025-01-09 09:23:32
22,,,,,,,142,,142,2025-01-09 09:23:32
24,,male,161.0,306.0,77002.0,"114, 142","78, 142","Film and Documentary, Literature and Poetry, Music and Instrumental, Theater and Performing Arts","114, 142, 78, 142",2025-01-09 09:23:32
38,,,,,,,153,,153,2025-01-09 09:23:32
39,,,,,,,153,,153,2025-01-09 09:23:32
49,,male,161.0,306.0,76932.0,,7,,7,2025-01-09 09:23:32
51,,,,,,,76,,76,2025-01-09 09:23:32
66,Why am I not yet a fucking Genius?,male,101.0,4008.0,1.0,"1, 2, 4","7, 75, 107, 339, 426","Literature and Poetry, Visual Arts","1, 2, 4, 7, 75, 107, 339, 426",2025-01-09 09:23:32
68,,male,161.0,316.0,76820.0,"78, 142, 426, 546","78, 426, 705","Electric Vehicles, Film and Documentary, Literature and Poetry, Music and Instrumental, Visual Arts","78, 142, 426, 546, 78, 426, 705",2025-01-09 09:23:32
75,,male,161.0,306.0,76932.0,"7, 66","7, 76, 79, 93",,"7, 66, 7, 76, 79, 93",2025-01-09 09:23:32
76,,male,161.0,306.0,76932.0,"51, 75","79, 114",,"51, 75, 79, 114",2025-01-09 09:23:32
